English	Yoruba
English	Gèési
Her false nails! Then Labakes Small lock of hair, which some minutes ago had boen dangling over her body and which she had removed as she prepared to go to the bathroom, her wig!	Iwo èké rè! Labakes Iwo èké rè, ti o ti wa ni iséju kan séyin ti o n gbe ara rè, ti o si ti gbe gégé bi o se n setan lati lo lo sile iwosan, adie rè!
The dialogue between the two peony lasted for about five minutes, the female voice became more and more bitter and severe towards the end of the tape.	Nnkan bii iséju marun-un to wa laaarin awon eeyan meji naa lo, ohun to n so ni obinrin naa n dun si i, o si n dun si i laaarin ipari itan naa.
What a European sees is, on television, every single day, a few months ago, opening the news every single day, a crowd coming, uncontrolled, moving from border to border, and the images on television were of hundreds or thousands of people moving.	Ohun ti ilè Yuroopu n ri ni, lori èro ayelujara, lójó kan séyin, osu diè séyin, wón n bòrò nipa iroyin lójó kan, òpòlopò eeyan n bòrò, wón n gbe lati òna de òna
As cases have been confirmed all over China, all medical staff are on alert, adding pressure on a medical system that is often insufficient for such a large and aging population.	Gégé bi òrò naa se ri lorilè-ede China, gbogbo awon osisé ilera ni wón n sisé lówó, wón si n sisé lori eto ilera ti o pò ju fun awon to n dagba ati awon to n dagba.
The Super Falcons of Nigeria have qualified for the final of the ongoing African Women Cup of Nations in Ghana.	Super Falcons ti Naijiiria ti kopa ninu idije African Women Cup of Nations lorilè-ede Ghana.
What explanation would Alamu give to them all? The explanation must be so convincing, so persuading to satisfy her.	Akosilè wo ni alamu maa fun won? Akosilè naa gbodò da awon eeyan loju, o si mu ki wón da a loju.
Education has to be part of our response as well.	Èkó gbodò jé òkan lara ohun ti a n se.
Law is our educator.	Ofin jé olukó wa.
Today, our team has grown, and we are using the Hasini effect to develop combination therapies that will effectively target tumor growth and metastases.	Lonii, awon ara wa ti pò si i, a si n lo ipa ti wón n pe ni Hasini lati se awon itóju ti yoo mu ki arun to n gbogun ati arun to n gbogun.
--- Lagos state house of assembly appeals for the endurance of covid 19 lockdown .	--- Ile igbimò asofin ipinlè Eko gbe ejó kotémilórun fun idagbasoke arun arun covid-19.
Hi:) I was very happy that my music was be the subject of such an important exam.	Hi: Inu mi dun gan-an pe orin mi wa lara awon ohun to se pataki yii.
Password managers usually have a way to make a backup file, or you can use your regular backup program.	Awon alaboojuto òrò-ifiwole n lo òna kan lati se isamulo itakuròso, tabi o le lo isamulo itakuròso re deedee.
"We will continue to serve the president and people of Nigeria, as we have for the past five years,"" Kyari added."	"A o ni maa sisé aare ati awon eeyan orilè ede Naijiria, bi a se n sisé fun odun marun-un séyin,"" Kyari fikun un pe, A o ni maa sisé fun aare ati awon eeyan orilè ede Naijiria,"
This story is the second in a two-part series on online ethnic hate speech, disinformation and propaganda during the 2019 Nigeria elections.	Iwe yii jé keji lara awon òrò meji ti wón n so lori èro-alatagba lori èro-alatagba lori èro-alatagba lori èro-alatagba lori èro-alatagba lori èro-alatagba lori èro-ayelujara,
These people risk their lives.	Awon eeyan yii maa n fiya je èmi won.
And this referendum that will have this profound effect forever on Britain -- it's already had a profound effect: the Japanese car manufacturers that came to Wales and the north east to replace the mining jobs -- they are already going because of Brexit.	Ipinnu yii ti yoo maa se ipa pataki lorilè-ede Britain -- o ti se ipa pataki: awon onimò-èro Japanese ti wón wa si Wales ati iwò oorun ila oorun lati yan awon isé abe -- wón ti n lo nitori Brexit.
On March 12, an Indian pipefitter from Dangote Refinery flew into Nigeria from Mumbai, after a brief stopover in Cairo, Egypt.	Ni March 12, omo orilè-ede India kan ti wón n pe ni Dangote Refinery jade lo si orilè-ede Naijiria lati Mumbai, léyin ti wón sisé diè ni ilu Cairo, lorilè-ede Egypt.
Netizens were quick to express their delight over the ruling.	Awon oniroyin to n sòrò nipa idajó naa tèsiwaju lati so pe inu won dun lori idajó naa.
"""We are looking forward to formally introducing him on Tuesday in New York."""	"""A n reti pe a maa salaye rè lójó Iségun niluu New York."""
How do they forge ahead to make sure that these attacks do not simmer their resolve or eclipse the message of their movement?	Bawo ni wón se maa n sisé lójó iwaju lati ri i daju pe awon ija wònyi o se ohun ti wón pinnu tabi ki wón yanju ohun ti wón n se?
He added that although the above mentioned establishments are exempted, access will be restricted and monitored.	O fikun un pe bo tiè jé pe awon ile ti a ti salaye nipa awon ile naa kòòkan, awon ile naa o nilo igbalode, wón si maa boju to awon nnkan ti wón n so nipa won.
Some thought 2019 would be different because Buhari from the All Progressive Congress (APC) and Abubakar from the People's Democratic Party (PDP) are both Hausa, Fulani Muslims, but that was not the case.	Awon kan ro pe odun 2019 yoo yatò nitori Buhari lati egbé All Progressive Congress (APC) ati Abubakar lati egbé People's Democratic Party (PDP) mejeeji ni Hausa, Fulani, Musulumi, sugbón iyen o se béè.
But these profiles can come to impact our rights in significant ways.	Sugbón awon akosilè wònyi le nipa ètó wa ni òpò òna.
There is a pressing need for regional island governments to demand an international effort in tackling the climate crisis.	A nilo awon ijoba agbegbe to wa lagbegbe naa lati beere pe ki wón sisé lorilè-ede agbaye ki wón le boju to òrò omiyale yii.
Since February 1967, Ouma has followed the divine map delivered in his dream.	Lati February 1967, Ouma ti n tè le aworan Olórun ninu aini rè.
As a matter of fact, he was very much around in town with Adio his friend, their meeting this time was a meeting with a difference.	Ninu òrò otitó, o n gbe lódò Adio òré rè lópòlopò, ipade won yii jé ipade ti o yatò si i.
Philandering university professors have for decades debased female students in Nigerian tertiary institutions.	Awon òjògbón to n sisé ni ilu Philandering ti n kó awon akékòó obinrin ninu awon ile-èkó ti wón n kó ni orilè-ede Naijiria fun òpò odun.
Writing the Yorùbá language in the borrowed Latin script may soon become a thing of the past as one Yorùbá man, Chief Tolúlàṣẹ Ògúntósìn, based in Benin, West Africa, has invented a writing system to encode the Yorùbá language.	Ki a to kó ede Yoruba ninu èda latinu ede latinu, o le di ohun ti a ti se télè gégé bi omo orilè-ede Yoruba, Òga Tolulase Oguntosin, to wa ni Benin, ni iwò oorun ilè Adulawò, ti se
When President Trump won as the president of America, he spoke on his twitter account that to buy a presidential plane will cost four billion dollars, which he cancelled.	Nigba ti aare Trump jawe gégé bi aare orilè-ede America, o sòrò lori ikanni Twitter rè pe lati ra okò oju irin aare yoo gba bilionu mérin owo dóla, eyi ti o fi pari.
"""They will include assembling and dispatching a technical team from FMOH and virus Infectious disease specialists from Irrua Specialist hospital to join a technical team from Lagos Ministry of Health that is already on ground in Kano at the request of the Governor of Kano State"" he said."	"O so pe: ""Wón maa kopa ninu awon ikò agbabóòlu FMOH ati ikò agbabóòlu ti o n boju to arun èjè ti o n selè ni ilu Irrua lati dara pò mó ikò agbabóòlu ti o n boju to "
Now, we're also drawn to information that aligns with our viewpoints.	Ni bayii, a tun n wa si iwifun ti o ba oju wa mu.
You've probably heard of this drug, made by Hoffmann-La Roche, patented drug.	O le jé pe o ti gbó nipa èjè yii, ti Hoffmann-La Roche, o jé èjè ti wón gbe jade.
Her work on human rights really serves as the foundation for all of our international human rights organizations.	Isé ti o n se lori ètó omoniyan jé idagbasoke fun gbogbo awon ajo to n boju to ètó omoniyan kari aye.
"""You are our heroes and as a nation, we will forever remain grateful for your sacrifice during this very difficult time."	"""E ni agbabóòlu wa ati gégé bi orilè-ede wa, a o ni dupé lówó yin lasiko isoro to le gan-an yii."
Should she feign sickness, send a message down to him in town and ask him to come and see her urgently on her sick bed?	O ye ki o sisé alaisan, ko ransé si i ni ilu ki o si ni ki o wa wo o loju?
He said they were well prepared to rekindle the glory of Nigeria in the U-17 category of global football.	O ni wón ti setan lati mu ògo orilè ede Naijiiria ninu idije U-17 ninu idije bóòlu agbaaye.
He said that the ministry had also discovered some reasons why miners were not able to access the fund.	O tun so pe isé iwaasu naa tun sewadii nipa awon idi ti awon osisé o fi le gba owo naa.
"Darkness does not know who deserves deference; it consulted the oracle Ifá for ""Who might you be?"""	"Ina o mo eni ti o ye; o sòrò Ifa fun ""Ta ni o le jé?"""
He would bark out orders, his voice roaring like a clap of thunder. He was a man of great strength and physique.	O maa n sòrò, oru è n rin bi i igun. O jé eni to lagbara ati eni to lagbara.
In neighboring North Macedonia, the Macedonian Orthodox Church - Ohrid Archbishopric seems to be following a similar path.	Ni ilu North Makedonia, o dabi pe òna kan naa ni ijo Orthodox Makedonia - Ohrid Bishopric n lo.
Within hours, Dr. Muyembe clarified his statements in a video message, confirming that the vaccine would only be trialed in DR Congo after it had been done in countries such as the US and China:	Laaarin wakati kan, Dokita Muyembe fi òrò rè han ninu iwe iroyin kan, o si fi idaniloju pe awon orilè-ede bii orilè-ede US ati China ni wón maa se e.
So have you ever wondered what it would be like to live in a place with no rules?	Nitori naa ti o ti ronu nipa ohun to maa selè lati gbe ni ibi ti ko ni ofin kankan?
Eventually, the coral starves to death; the most noticeable outward sign of this phenomenon is that the coral loses its colour, going from shades of brown and green to a crisp, brittle, bone white.	Lówólówó, ekun n pa; ohun ti o se kedere ju lo ni pe ekun n pa, o n ya lati oju òrun ati pupa si oju ewe funfun.
After World War II, and especially from the mid-1960s until really recently, immigrants and their allies turned the tide, overthrowing mid-20th century restriction and winning instead a new system that prioritized family reunification, the admission of refugees and the admission of those with special skills.	Léyin Ogun Agbaye Keji, paapaa julo lati aarin odun 1960 si aipé yii, awon asikiri ati awon ololufé won yònda ara won, wón gbe eto tuntun ti wón n se fun awon idile, wón gbe eto tuntun ti wón
The two countries agreed on this in a communiqué issued at the end of a meeting between Foreign Affairs Minister, Geoffrey Onyeama and Angolan Minister of External Relations, Manuel Augusto, on Thursday in Abuja.	Awon orilè-ede mejeeji gba òrò yii lasiko ipade ti minisita ijoba orilè-ede òhun, Geoffrey Onyeama ati minisita ijoba orilè-ede Angola, Manuel Augusto se niluu Abuja.
Assembly lines were engineered to replace inconsistent human handiwork with machine perfection.	Wón se amulo awon òna abadofin lati fi kun isé èda èda èda.
Password managers:	Awon agbenuso òrò-ifiwole:
The minister for health in Nigeria, Osagie Ehanire one of the committee said:	Minisita fun eto ilera ni Naijiria, Osgie Ehanire òkan lara igbimò naa so pe:
From half past nine (9:30) on 29th those that have corona virus are one hundred and eleven, with one death, but Lagos state is still leading with sixty (68) people infected.	Lati aago mésan-an (9:30) si aago mésan-an (9:30), awon to ni arun corona ni egbèrun lóna ogórun-un mésan-an, pèlu iku kan, sugbón ipinlè Eko si n gbe awon eeyan méfa (68) ti arun naa
If I could find one, are they trustworthy?	Bi mo ba ri i, se wón ye?
Of these 216 other fourth parties, only three belonged to the health sector.	Nnkan bi ogórun-un meji o le ogórun-un mérin o le ogórun-un meji o le ogórun-un mérin o le ogórun-un meji o le ogórun-un meji o le ogórun-un mérin o le mérindinlógó
Mama was not happy dissipating her energy on an eye for eye, tooth for tooth' venture.	Inu mama o dun bi o se n fi agbara rè loju oju, eegun fun eegun.
In addition, using 2FA means you may be handing over more information to a service than you are comfortable with.	Yatò siyen, lo lilo 2FA tumò si pe o le fi òpò iwifun fun isé kan ju ti o nilo lati se.
"The injury ruled him out of the ""Clasico"" against arch rivals Real Madrid on Oct. 28."	Nigba ti ikò agbabóòlu Real Madrid jawe olubori ninu idije Clasico lójó kejidinlógbòn osu karun-un odun ti a wa yii.
"Dr. Chikwe Ihekweazu, head of NCDC, pleaded that they are ""trying VERY hard to meet all urgent needs"":"	"Dokita Chikwe Ihekweazu, to jé olori igbimò NCDC beere pe ki wón ""sòrò gan-an lati pese gbogbo ohun ti wón nilo""."
--- Arsenal's Petr Cech set to retire end of season	--- Petr Cech ti pinnu lati padanu ifesèwonsè naa.
Chutni expresses how the lack of resources often makes it a struggle to fight against the practice.	Chutni fi han pe lilo awon ohun amulo nigba òpòlopò n mu ko rorun lati ja fun isé naa.
The Minister appealed to all Nigerians to continue to support the efforts of Government towards fighting the Coronavirus Disease.	Minisita wa ro gbogbo omo orilè ede Naijiria lati maa tèsiwaju lati maa boju to arun Corona.
Police forces have the advantage of new legal privileges that allow them to use deadly force if they deem it necessary for security reasons.	Awon olópaa ni anfaani tuntun ti o jé ki wón lo ogun olópaa ti wón ba mò pe o se pataki fun aabo.
He finished fourth in the vote for the 2018 Ballon d'Or, with that lofty standing placing him above five-time winner Lionel Messi.	O pari ipele kerin ninu ifowósowópò rè fun idije Ballon d'Or 2018, béè si ni, o si ni o le ni ipo keji ninu ifowósowópò rè, Lionel Messi.
"The US Ambassador to Nigeria, W. Stuart Symington stated this in a statement to mark World Malaria day with the theme: """"Zero Malaria Starts with Me."""	"Abenugan orilè-ede US, W. Stuart Symington so òrò yii ninu òrò kan ti wón gbe jade lati fi salaye ojó ijam̀ba Malaria to n waye lorilè-ede Amérika pèlu òrò rè: ""Ijam̀ba Malaria ni o"
There was a lot of reporting about this group, Doctors Without Borders, sounding the alarm and calling for aid and assistance.	Òpò eeyan lo n sòrò nipa egbé yii, awon dokita ti wón n pe ni Dokita Laika Agbegbe, wón n sòrò naa, wón si n pe fun iranlówó ati iranlówó.
"""Ewe, who is the director of engineering in Yoruba section said as the yoruba section have started broadcasting from Abuja will make the listeners of Voice of Nigeria from abroad will hear them clearly."	"""Ewe, to jé oludari awon onimò-èro lorilè-ede Yoruba so pe bi awon to n gbó ede Yoruba lati ilu Abuja se bèrè si i gbó ohun ti wón n gbó."
Fabricated claims of Yoruba burning Igbo shops in Lagos	Ohun ti wón so ni pe awon Yoruba n sun awon osisé Igbo ni Eko
Nigeria's First Lady, Mrs Aisha Buhari has donated medical items to support the fight against the spread of the deadly Coronavirus disease known as COVID-19.	Ògbéni Aisha Buhari ti seto awon nnkan to n boju to arun COVID-19 ti o n pe ni COVID-19.
