English	Yoruba
English	Ede Gèési
Her false nails! Then Labakes Small lock of hair, which some minutes ago had boen dangling over her body and which she had removed as she prepared to go to the bathroom, her wig!	Léyin naa Labakes, adie èké rè, ti o ti n gbe lori ara rè, ti o si ti gbe e lo si ile, adie rè!
The dialogue between the two peony lasted for about five minutes, the female voice became more and more bitter and severe towards the end of the tape.	Nnkan bii iséju marun-un ti wón fi n sòrò laaarin awon eeyan mejeeji, ohùn obinrin naa si n dun gan-an, o si n dun gan-an.
What a European sees is, on television, every single day, a few months ago, opening the news every single day, a crowd coming, uncontrolled, moving from border to border, and the images on television were of hundreds or thousands of people moving.	Ohun ti awon Elérii Jehofa n ri lori èro-alatagba, lójó kan, osu diè séyin, wón bèrè si i bèrè iroyin lójó kan, òpòlopò eeyan lo n wa, wón n gbe lati ibi kan si ibi kan, wón
As cases have been confirmed all over China, all medical staff are on alert, adding pressure on a medical system that is often insufficient for such a large and aging population.	Gégé bi wón se n ri i pe gbogbo awon osisé ile iwosan lorilè-ede China, gbogbo awon osisé ile iwosan lókunrin ati lobinrin lo n boju to awon ejó yii, wón si n boju to isé iwosan ti 
The Super Falcons of Nigeria have qualified for the final of the ongoing African Women Cup of Nations in Ghana.	Super Falcons orilè-ede Naijiiria ti kopa ninu idije African Women Cup of Nations lorilè-ede Ghana.
What explanation would Alamu give to them all? The explanation must be so convincing, so persuading to satisfy her.	Akosilè wo ni alamu maa fun gbogbo won? Akosilè naa gbodò da a loju, o si n fun un lokun.
Education has to be part of our response as well.	Èkó gbodò jé òkan lara ohun ti a n se pèlu èkó.
Law is our educator.	Ofin jé olukó wa.
Today, our team has grown, and we are using the Hasini effect to develop combination therapies that will effectively target tumor growth and metastases.	Lódun yii, a ti n lo ipa ti o jé ki awon ara wa pò si i, a si n lo ipa ti o jé ki wón le se awon iransé ti yoo mu ki arun naa pò si i.
--- Lagos state house of assembly appeals for the endurance of covid 19 lockdown .	--- Ile igbimò asofin ipinlè Eko pe ki wón le fara da arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun arun
Hi:) I was very happy that my music was be the subject of such an important exam.	E: Inu mi dun gan-an pe orin mi wa lara awon òkan-o-jòkan iwadii yii.
Password managers usually have a way to make a backup file, or you can use your regular backup program.	Awon alaboojuto idanimò o ni òna kan ti o le se isé-ayarabiasa, tabi o le lo isé-ayarabiasa ti o n se.
"We will continue to serve the president and people of Nigeria, as we have for the past five years,"" Kyari added."	"A o ni maa sisé aare ati awon eeyan orilè-ede Naijiria, bi a se n sisé fun odun marun-un séyin."""
This story is the second in a two-part series on online ethnic hate speech, disinformation and propaganda during the 2019 Nigeria elections.	Iriri yii jé òkan lara awon òrò meji ti wón n so nipa awon eeyan lori èro-alatagba lori èro-alatagba lori èro-alatagba lori èro-alatagba lori èro-alatagba lori èro-alatagba,
These people risk their lives.	Awon eeyan yii n ba èmi won jé.
And this referendum that will have this profound effect forever on Britain -- it's already had a profound effect: the Japanese car manufacturers that came to Wales and the north east to replace the mining jobs -- they are already going because of Brexit.	Ipinnu yii ti yoo ni ipa to lagbara yii lorilè-ede Britain -- o ti n ipa to lagbara yii: awon onimò okò okò ti o wa si Wales ati iwò oorun lati boju to isé iwaasu -- wón ti n lo nitori Brexit
On March 12, an Indian pipefitter from Dangote Refinery flew into Nigeria from Mumbai, after a brief stopover in Cairo, Egypt.	Ni March 12, omo orilè-ede India kan to n gbe ni ilu Dangote lo si orilè-ede Naijiria lati orilè-ede Naijiria lati ilu Mumbai, léyin ti wón ti n gbe si ilu Cairo, lorilè-ede Egypt.
Netizens were quick to express their delight over the ruling.	Inu awon oniroyin dun gan-an lori idajó naa.
"""We are looking forward to formally introducing him on Tuesday in New York."""	"""A n reti pe a maa salaye rè lójó Aje lorilè-ede New York."""
How do they forge ahead to make sure that these attacks do not simmer their resolve or eclipse the message of their movement?	Bawo ni wón se maa n sisé lówó lati ri i daju pe awon isèlè yii o se ohun ti wón pinnu tabi ohun ti wón n gbó?
He added that although the above mentioned establishments are exempted, access will be restricted and monitored.	O tun fi kun un pe bo tiè jé pe awon ileesé ti a n salaye yii o ni aabo si, awon ileesé ti a n salaye yii o ni aabo si, wón si maa boju to awon nnkan ti wón n se.
Some thought 2019 would be different because Buhari from the All Progressive Congress (APC) and Abubakar from the People's Democratic Party (PDP) are both Hausa, Fulani Muslims, but that was not the case.	Awon kan ro pe odun 2019 yoo yatò nitori pe Buhari lati Ajo All Progressive Congress (APC) ati Abubakar lati egbé People's Democratic Party (PDP) ati Abubakar lati egbé People's Democratic Party (PDP) ati Abubakar lati egbé People's Democratic Party (PDP) ni awon
But these profiles can come to impact our rights in significant ways.	Sugbón awon aworan yii le se ipa kan lori ètó wa ni òpò òna.
There is a pressing need for regional island governments to demand an international effort in tackling the climate crisis.	Awon ijoba to wa ni agbegbe naa nilo lati beere pe ki awon orilè-ede òtòòtò lati boju to isoro to n selè lorilè-ede yii.
Since February 1967, Ouma has followed the divine map delivered in his dream.	Lati February 1967, Ouma ti n tè le oju oju Olórun ti wón fi n ranti rè.
As a matter of fact, he was very much around in town with Adio his friend, their meeting this time was a meeting with a difference.	Gégé bi òrò kan, òpòlopò lo n gbe pèlu Adio òré rè, ipade won lójó yii jé òkan-o-jòkan.
Philandering university professors have for decades debased female students in Nigerian tertiary institutions.	Òpò odun ni awon òjògbón to n sisé ninu awon ile-èkó ilè Naijiria ti n kó awon akékòó obinrin ni orilè-ede Naijiria.
Writing the Yorùbá language in the borrowed Latin script may soon become a thing of the past as one Yorùbá man, Chief Tolúlàṣẹ Ògúntósìn, based in Benin, West Africa, has invented a writing system to encode the Yorùbá language.	Ògbéni Tolulase Oguntosin, ti o wa ni ilu Benin, lorilè-ede Amérika, ti se ohun ti o koja gégé bi òkan lara awon omo ilè Yoruba gégé bi òkan lara awon omo orilè-ede Yoruba.
When President Trump won as the president of America, he spoke on his twitter account that to buy a presidential plane will cost four billion dollars, which he cancelled.	Nigba ti Aare Trump gba gégé bi aare orilè-ede America, o sòrò lori èro-ibanisòrò lori èro-ibanisòrò lori Twitter pe lati ra okò okò okò aare yoo gba miliònu mérin owo dóla, eyi ti o
"""They will include assembling and dispatching a technical team from FMOH and virus Infectious disease specialists from Irrua Specialist hospital to join a technical team from Lagos Ministry of Health that is already on ground in Kano at the request of the Governor of Kano State"" he said."	"""Wón maa kopa ninu ikò agbabóòlu kan lati ilu FMOH ati awon alaisan to n boju to arun arun to n selè lati ilu Irrua, lati dara pò mó ikò agbabóòlu kan lati ilu Eko lati dara pò mó ikò agbabóòlu kan"
Now, we're also drawn to information that aligns with our viewpoints.	Ni bayii, a tun n ri awon nnkan ti o ba oju wa mu.
You've probably heard of this drug, made by Hoffmann-La Roche, patented drug.	O seé jé pe o ti gbó nipa èjè yii, ti Hoffmann-La Roche, o jé èjè ti o se e.
Her work on human rights really serves as the foundation for all of our international human rights organizations.	Isé ti o n se lori ètó omoniyan n se gégé bi aseyori fun gbogbo awon ajo to n ri si ètó omoniyan kari aye.
"""You are our heroes and as a nation, we will forever remain grateful for your sacrifice during this very difficult time."	"""Awon ololufé wa ati gégé bi orilè-ede wa, a o ni dupé lówó yin ninu akoko to buru gan-an yii."
Should she feign sickness, send a message down to him in town and ask him to come and see her urgently on her sick bed?	O ye ki o gbogun arun, ki o ransé si i ni ilu, ki o si ni ki o wa wo o nile eegun rè?
He said they were well prepared to rekindle the glory of Nigeria in the U-17 category of global football.	O ni wón ti setan lati gbe òpòlopò orilè ede Naijiiria silè ninu idije bóòlu agbaaye.
He said that the ministry had also discovered some reasons why miners were not able to access the fund.	O tun so pe isé iwaasu naa tun ti ri i pe awon eeyan o le gba owo naa.
"Darkness does not know who deserves deference; it consulted the oracle Ifá for ""Who might you be?"""	"Ina o mo eni ti o ye; o sòrò Ifa fun ""Ta ni o le jé?"""
He would bark out orders, his voice roaring like a clap of thunder. He was a man of great strength and physique.	O maa gbe òrò, oru rè n gbe bi i igun. O jé òkan-o-jòkan-o-jòkan-o-jòkan.
In neighboring North Macedonia, the Macedonian Orthodox Church - Ohrid Archbishopric seems to be following a similar path.	Ni ilu North Makedonia, o se kedere pe èsin Orthodox Makedonia - iyen Ògbéni Ohrid ni wón n lo òna kan naa.
Within hours, Dr. Muyembe clarified his statements in a video message, confirming that the vaccine would only be trialed in DR Congo after it had been done in countries such as the US and China:	Léyin òpò wakati, Dokita Muyembe salaye òrò rè ninu òrò kan, o fi han pe awon orilè-ede bii orilè-ede US ati China ni wón maa se e.
So have you ever wondered what it would be like to live in a place with no rules?	Tori naa, o ti ronu nipa bi o se maa se fun yin lati gbe ni ibi ti ko ni ofin kankan?
Eventually, the coral starves to death; the most noticeable outward sign of this phenomenon is that the coral loses its colour, going from shades of brown and green to a crisp, brittle, bone white.	Nigba ti nnkan ba n sòrò, òkan lara awon nnkan to n sòrò yii ni pe òkan lara awon nnkan to n sòrò yii ni pe òkan lara awon nnkan to n sòrò ni 
After World War II, and especially from the mid-1960s until really recently, immigrants and their allies turned the tide, overthrowing mid-20th century restriction and winning instead a new system that prioritized family reunification, the admission of refugees and the admission of those with special skills.	Léyin Ogun Agbaye Keji, paapaa julo lati nnkan bi ogórun-un meji odun séyin, awon asikiri ati awon alaboojuto won yònda ara won, wón si n gba èro tuntun ti o n mu ki awon eeyan sisé 
The two countries agreed on this in a communiqué issued at the end of a meeting between Foreign Affairs Minister, Geoffrey Onyeama and Angolan Minister of External Relations, Manuel Augusto, on Thursday in Abuja.	Èwè, awon orilè-ede mejeeji naa so òrò yii ninu ipade ti Minisita fun ijoba orilè-ede òhun, Geoffrey Onyeama ati Minisita fun ibasepò lorilè-ede Angola, Manuel Augusto se niluu Abuja.
Assembly lines were engineered to replace inconsistent human handiwork with machine perfection.	Wón gbe awon òna amayederun naa silè lati ran awon eeyan lówó pèlu èro èro.
Password managers:	Awon agbenuso akosilè-ayarabiasa:
The minister for health in Nigeria, Osagie Ehanire one of the committee said:	Minisita fun ijoba orilè ede Naijiria, Osgie Ehanire òkan lara igbimò naa so pe:
From half past nine (9:30) on 29th those that have corona virus are one hundred and eleven, with one death, but Lagos state is still leading with sixty (68) people infected.	Lati igba mésan-an (9:30) si igba mésan-an (9:30) awon ti o ni arun corona ni igba mésan-an, o si ku, sugbón ipinlè Eko si n gbe awon eeyan méfa o le ogórun-un (68) eeyan to fara pa.
If I could find one, are they trustworthy?	Bi mo ba le ri i, se wón gbékè le won?
Of these 216 other fourth parties, only three belonged to the health sector.	Nnkan bi ogórun-un meji o le ogórun-un meji o le ogórun-un meji o le ogórun-un mérin o le ogórun-un meji o le ogórun-un meji o le ogórun-un mérin o le ogórun-un
Mama was not happy dissipating her energy on an eye for eye, tooth for tooth' venture.	Inu mama o dun bi o se n fi okan rè si oju, eegun si eegun.
In addition, using 2FA means you may be handing over more information to a service than you are comfortable with.	Yatò siyen, lilo 2FA tumò si i pe o le fi òpò alaye silè fun isé ti o nilo lati sisé.
"The injury ruled him out of the ""Clasico"" against arch rivals Real Madrid on Oct. 28."	Isèlè yii mu ki ikò agbabóòlu Real Madrid koju ikò agbabóòlu Real Madrid lójó kejidinlógbòn osu kejila.
"Dr. Chikwe Ihekweazu, head of NCDC, pleaded that they are ""trying VERY hard to meet all urgent needs"":"	"Dokita Chikwe Ihekweazu to jé òga NCDC beere pe wón ""n sòrò gan-an lati pese gbogbo ohun ti wón nilo."""
--- Arsenal's Petr Cech set to retire end of season	--- Petr Cech yoo padanu ifesèwonsè òhun.
Chutni expresses how the lack of resources often makes it a struggle to fight against the practice.	Chutni salaye bi o se n koju awon ohun elomiran lópòlopò n jé ki wón koju awon ohun elomiran.
The Minister appealed to all Nigerians to continue to support the efforts of Government towards fighting the Coronavirus Disease.	Minisita tun pe gbogbo omo orilè ede Naijiria lati maa tèsiwaju lati boju to arun Corona.
Police forces have the advantage of new legal privileges that allow them to use deadly force if they deem it necessary for security reasons.	Awon olópaa ni anfaani tuntun ti o jé ki wón lo ogun olópaa ti wón ba nilo fun aabo.
He finished fourth in the vote for the 2018 Ballon d'Or, with that lofty standing placing him above five-time winner Lionel Messi.	O pari ifesèwonsè kekere fun idije Ballon d'Or 2018, pèlu ibasepò rè ti o le ni igba marun-un, Lionel Messi.
